NFE	BestRunningMin
1	1767.8465019000002
2	1767.8465019000002
3	1643.7589953000002
4	1600.0707669
5	1600.0707669
6	1600.0707669
7	1600.0707669
8	1600.0707669
9	1600.0707669
10	1600.0707669
11	1600.0707669
12	1600.0707669
13	1583.8010297
14	1583.8010297
15	1583.8010297
16	1583.8010297
17	1248.1901013
18	1248.1901013
19	1248.1901013
20	1248.1901013
21	1248.1901013
22	1248.1901013
23	1248.1901013
24	1248.1901013
25	1248.1901013
26	1248.1901013
27	1248.1901013
28	1248.1901013
29	1248.1901013
30	1248.1901013
31	1248.1901013
32	1248.1901013
33	1248.1901013
34	1248.1901013
35	1248.1901013
36	1248.1901013
37	1248.1901013
38	1248.1901013
39	1248.1901013
40	1248.1901013
41	1248.1901013
42	1248.1901013
43	1248.1901013
44	1248.1901013
45	1248.1901013
46	1248.1901013
47	1248.1901013
48	1248.1901013
49	1248.1901013
50	1248.1901013
51	1248.1901013
52	1248.1901013
53	1248.1901013
54	1248.1901013
55	1248.1901013
56	1248.1901013
57	1248.1901013
58	1248.1901013
59	1248.1901013
60	1248.1901013
61	1248.1901013
62	1248.1901013
63	1248.1901013
64	1248.1901013
65	1248.1901013
66	1248.1901013
67	1248.1901013
68	1248.1901013
69	1248.1901013
70	1248.1901013
71	1248.1901013
72	1248.1901013
73	1248.1901013
74	1248.1901013
75	1248.1901013
76	1248.1901013
77	1248.1901013
78	1248.1901013
79	1248.1901013
80	1248.1901013
81	1248.1901013
82	1248.1901013
83	1248.1901013
84	1248.1901013
85	1248.1901013
86	1248.1901013
87	1248.1901013
88	1248.1901013
89	1248.1901013
90	1248.1901013
91	1248.1901013
92	1248.1901013
93	1248.1901013
94	1248.1901013
95	1248.1901013
96	1248.1901013
97	1248.1901013
98	1248.1901013
99	1248.1901013
100	183.01749199999998
101	183.01749199999998
102	41.71173085714286
103	23.80013375
104	23.148723714285712
105	23.074765111111113
106	23.074759777777775
107	23.074759777777775
108	23.074759777777775
109	23.074759777777775
110	23.074759777777775
111	23.074759777777775
112	23.074759777777775
113	23.074759777777775
114	23.074759777777775
115	23.074723
116	23.074612
117	23.074603749999998
118	23.074603749999998
119	23.074603
120	23.07451475
121	23.07451475
122	23.07451475
123	23.07451475
124	23.07451475
125	23.07451475
126	23.07451475
127	23.07451475
128	23.07451475
129	23.07451475
130	23.07451475
131	23.074297
132	23.074297
133	23.074297
134	23.074297
135	23.074297
136	23.074297
137	23.074297
138	23.074297
139	23.074297
140	23.074297
141	23.074297
142	23.074297
143	23.074297
144	23.074297
145	23.074297
146	23.074297
147	23.074297
148	23.074297
149	23.074297
150	23.0737162
151	23.0736916
152	23.0736309
153	23.073627199999997
154	23.0736151
155	23.073536600000004
156	23.073536600000004
157	23.0734795
158	23.0734211
159	23.073416100000003
160	23.0733186
161	23.073304800000003
162	23.073269800000002
