%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      0.8479187783   4.945546381    -4.094571296   1.988446425    -2.063400526   -1.734059996   0.04259290805  1.166580101    3.97388397     -1.09520893    4201.865458    
30       NO_ID      5.058322041    -0.7585195812  -2.370592357   -2.935810067   -1.507150607   -4.449384227   0.8610991682   -3.140406709   -1.459879509   -5.12          3351240.594    	-1.93958e+06	-1.93958e+06	-1.93958e+06
31       NO_ID      -5.014004065   0.7568656824   -1.348317736   -4.793238515   -4.136827736   -1.626051397   -4.813076844   -3.517849193   2.478879039    2.692942043    -22705.25229   	-1.93958e+06	-1.93958e+06	-1.93958e+06
32       NO_ID      -3.599781748   0.726003213    -4.253287194   -4.592886747   -0.3826574817  -2.414688071   1.241127631    -5.12          -3.951949869   1.424124752    1040.484758    	-1.93958e+06	-1.93958e+06	-1.93958e+06
33       NO_ID      -0.9509701084  -2.164502792   4.696221497    1.925433102    5.048784413    -4.291709687   0.5436326285   3.593202062    1.106949018    1.113287604    -1145.388189   	-1.93958e+06	-1.93958e+06	-1.93958e+06
34       NO_ID      0.03014466034  4.184704431    -0.02400465886 4.568725315    -1.293873062   -1.509246621   0.4555463675   0.09790836873  -4.547042787   1.224678113    -450770.208    	-1.93958e+06	-1.93958e+06	-1.93958e+06
35       NO_ID      -0.257543451   2.260468112    0.334199854    5.12           3.129806788    0.588128454    3.653317335    -1.997243591   3.24819179     -3.037740824   38485.92262    	-1.93958e+06	-1.93958e+06	-1.93958e+06
36       NO_ID      -1.62257154    2.367109727    1.203135249    1.693676248    -5.12          -1.366345298   -5.027161748   -4.309855858   -2.562090217   4.066994665    -41061.99968   	-1.93958e+06	-1.93958e+06	-1.93958e+06
37       NO_ID      1.112633851    -1.145690344   1.290219094    -2.734411543   -3.973899295   0.9795220269   -0.6284405071  2.965043803    -0.8688686466  -4.64865514    -844.962821    	-1.93958e+06	-1.93958e+06	-1.93958e+06
38       NO_ID      0.01036587571  4.752418367    1.327694544    -3.386320049   -1.396868476   -0.7443206118  -0.7774748448  -3.201872043   4.231701985    2.833706025    -13496845.49   	-1.34968e+07	-1.34968e+07	-1.34968e+07
39       NO_ID      -3.07131357    4.37132087     5.12           4.544693625    -3.57589657    -1.276899658   -0.4532726447  2.547997046    1.719011703    -3.296847176   -23.586281     	-1.34968e+07	-1.34968e+07	-1.34968e+07
40       NO_ID      1.520924462    -0.8329960066  2.018853086    -2.154354327   0.8262001283   -5.064827308   5.12           1.165508486    2.72181157     0.8386198041   -7756.511027   	-1.34968e+07	-1.34968e+07	-1.34968e+07
41       NO_ID      3.890839186    4.576429216    0.2267452941   -3.874509697   -3.950990844   0.4883490095   2.293191226    -2.228898421   -3.858198394   0.4731651826   7711.823315    	-1.34968e+07	-1.34968e+07	-1.34968e+07
42       NO_ID      -2.276438675   1.129510765    -2.602520256   -4.302383554   -4.864942644   -3.804644233   3.077566276    -1.623538506   -1.654605939   -4.186279488   219.060233     	-1.34968e+07	-1.34968e+07	-1.34968e+07
43       NO_ID      4.163955741    3.353392261    4.330832364    4.20549525     -1.510950809   -2.566853984   1.179467318    -4.626812742   4.287541811    5.007836821    3139999.301    	-1.34968e+07	-1.34968e+07	-1.34968e+07
44       NO_ID      -3.459157156   -4.6892694     3.233163688    1.261271217    1.218254491    -2.714792147   3.243360141    -2.768106136   1.762984889    -4.783811518   98.307461      	-1.34968e+07	-1.34968e+07	-1.34968e+07
45       NO_ID      0.751410935    4.309692907    4.310795254    -5.06898476    4.475517998    -5.12          0.4709656001   -4.285229222   4.370383293    -2.673983441   -11886.90443   	-1.34968e+07	-1.34968e+07	-1.34968e+07
